Part,Section,Parser ID,Node ID,Question text,Data type,Checkboxes,Dropdown list,Condition,Review hints,Repetition group,Property name,Notes
A,03 - U.S. Citizenship,a-3-1a0029-0,228,Middle Name,text,Letter(s) Only|No Middle Name,,for U.S. Citizen Born Abroad Biographical Data on Document.,,,usCitizenBornAbroadDocumentMiddleName,
A,03 - U.S. Citizenship,a-3-1798f7-0,232,Suffix,dropdown,,SUFFIX,for U.S. Citizen Born Abroad Biographical Data on Document.,,,usCitizenBornAbroadDocumentSuffix,
A,03 - U.S. Citizenship,a-3-132266-0,234,Were you born on an overseas U.S. military installation?,boolean,,,for U.S. Citizen Born Abroad Biographical Data on Document.,,,usCitizenBornAbroadWasBornOnMilitaryInstallation,
A,03 - U.S. Citizenship,a-3-15f845-0,238,What is the name of the overseas U.S. military installation?,text,,,for U.S. Citizen Born Abroad Affirmative Answer on U.S. Military Installation. Name.,,,usCitizenBornAbroadBirthMilitaryInstallationName,
A,03 - U.S. Citizenship,a-3-603899-0,241,What is your U.S. Alien Registration Number?,text,,,for Naturalized U.S. Citizen. Documents,,,naturalizedCitizenArn,
A,03 - U.S. Citizenship,a-3-97d23c-0,245,"What is your Naturalization Certificate Number or Naturalization Number? This is the ""No."" (short for number) in the top right hand corner of your Certificate of Naturalization (N-550 or N-570) (it is often in red ink).",text,,,for Naturalized U.S. Citizen. Documents,,,naturalizedCitizenCertificateNumber,
A,03 - U.S. Citizenship,a-3-12561d-0,247,What is the issue date of your Certificate of Naturalization?,mm/dd/yyyy,,,for Naturalized U.S. Citizen. Documents,,,naturalizedCitizenCertificateIssueDate,
A,03 - U.S. Citizenship,a-3-13e859-0,250,Last Name,text,Letter(s) Only,,for Naturalized U.S. Citizen. Documents,,,naturalizedcitizenCertificateLastName,
A,03 - U.S. Citizenship,a-3-158bbf-0,253,First Name,text,Letter(s) Only,,for Naturalized U.S. Citizen. Documents,,,naturalizedCitizenCertificateFirstname,
A,03 - U.S. Citizenship,a-3-f17442-0,256,Middle Name,text,Letter(s) Only|No Middle Name,,for Naturalized U.S. Citizen. Documents,,,naturalizedCitizenCertificateMiddleName,
A,03 - U.S. Citizenship,a-3-15e4e6-0,260,Suffix,dropdown,,SUFFIX,for Naturalized U.S. Citizen. Documents,,,naturalizedCitizenCertificateSuffix,
A,03 - U.S. Citizenship,a-3-4778f0-0,263,What is your U.S. Alien Registration Number?,text,,,for Derived U.S. Citizen. Documents.,,,derivedCitizenArn,
A,03 - U.S. Citizenship,a-3-197f04-0,267,What is your Permanent Resident Card or Resident Alien Card number (Form I-551)?,text,,,for Derived U.S. Citizen. Documents.,,,derivedCitizenCardNumber,
A,03 - U.S. Citizenship,a-3-9873d2-0,269,"What is your Citizenship Certificate Number or Citizenship Number? This is the ""No."" (short for number) in the top right hand corner of your Certificate of Citizenship (Form N-560 or Form N-561) It is often in red ink.",text,Not Applicable (Text),,for Derived U.S. Citizen. Documents.,,,derivedCitizenCertificateNumber,
A,03 - U.S. Citizenship,a-3-f72c4f-0,273,Last Name,text,Letter(s) Only,,for Derived U.S. Citizen. Documents.,,,derivedCitizenCertificateLastName,
A,03 - U.S. Citizenship,a-3-f4da10-0,276,First Name,text,Letter(s) Only,,for Derived U.S. Citizen. Documents.,,,derivedCitizenCertificateFirstName,
A,03 - U.S. Citizenship,a-3-c63866-0,279,Middle Name,text,Letter(s) Only|No Middle Name,,for Derived U.S. Citizen. Documents.,,,derivedCitizenCertificateMiddleName,
A,03 - U.S. Citizenship,a-3-5fb554-0,283,Suffix,dropdown,,SUFFIX,for Derived U.S. Citizen. Documents.,,,derivedCitizenCertificateSuffix,
A,03 - U.S. Citizenship,a-3-a763cb-0,285,What is the issue date of your Certificate of Citizenship?,mm/dd/yyyy,,,for Derived U.S. Citizen. Documents.,,,derivedCitizenCertificateIssueDate,
A,03 - U.S. Citizenship,a-3-1c478f-0,288,What is your residence status?,dropdown,,RESIDENCY_STATUS,for Non-U.S. Citizen. Residency Status.,,,nonUsCitizenResidenceStatus,
A,03 - U.S. Citizenship,a-3-fbea34-0,291,Please explain.,text,,,for Non-U.S. Citizen Residence Status Selection of “Other” in Dropdown Menu.,,,nonUsCitizenOtherResidenceStatusExplanation,
A,03 - U.S. Citizenship,a-3-9fd573-0,294,When did you enter the U.S.? (This is the date you entered the U.S. on your current visa.),mm/dd/yyyy,Estimated,,Non-U.S. Citizen Status Entry Details Questions.,,,nonUsCitizenUsEntryDate,
A,03 - U.S. Citizenship,a-3-1a1942-0,298,City,text,,,Non-U.S. Citizen Status Entry Details Questions.,,,nonUsCitizenCity,
A,03 - U.S. Citizenship,a-3-4ebf62-0,300,State or Territory,dropdown,,STATE_OR_TERRITORY,Non-U.S. Citizen Status Entry Details Questions.,,,nonUsCitizenState,
A,03 - U.S. Citizenship,a-3-b8172e-0,305,Country,dropdown,,COUNTRY,for Non-U.S. Citizen. Citizenship Information.,,,nonUsCitizenCountry,
A,03 - U.S. Citizenship,a-3-1977a2-0,308,What is your Alien Registration Number?,text,Not Applicable (Text),,Non-U.S. Citizen Residency Details Documentation.,,,nonUsCitizenArn,
A,03 - U.S. Citizenship,a-3-fbb3f0-0,312,When does your Employment Authorization Card (Form I-766) expire?,mm/dd/yyyy,Not Applicable (Text),,Non-U.S. Citizen Residency Details Documentation.,,,nonUsCitizenEACardExpirationDate,
A,03 - U.S. Citizenship,a-3-11344b-0,316,What document do you have verifying your legal residency?,dropdown,,DOC_VERIFY_LEGALRESIDENCY,Non-U.S. Citizen Residency Verification Document Details.,,,nonUsCitizenResidencyDocument,
A,03 - U.S. Citizenship,a-3-711ed8-0,319,What is the title of the form?,text,,,Non-U.S. Citizen Explanation for Selection of “Other” on Document Details Dropdown Menu.,,,nonusCitizenOtherResidencyDocumentFormTitle,
A,03 - U.S. Citizenship,a-3-9b5d86-0,322,What is the document number?,text,Not Applicable (Text),,Non-U.S. Citizen Documentation Additional Details,,,nonUsCitizenDocumentNumber,
A,03 - U.S. Citizenship,a-3-71b0bd-0,329,What is the issue date of your document?,mm/dd/yyyy,,,Non-U.S. Citizen Documentation Additional Details,,,nonUsCitizenDocumentIssuedate,
A,03 - U.S. Citizenship,a-3-747b6b-0,331,What is the expiration date of your document?,mm/dd/yyyy,,,Non-U.S. Citizen Documentation Additional Details,,,nonUsCitizenDocumentExpirationdate,
A,03 - U.S. Citizenship,a-3-148cc3-0,334,Last Name,text,Letter(s) Only,,Non-U.S. Citizen Documentation Additional Details,,,nonUsCitizenDocumentLastName,
A,03 - U.S. Citizenship,a-3-1f6e05-0,337,First Name,text,Letter(s) Only,,Non-U.S. Citizen Documentation Additional Details,,,nonUsCitizenDocumentFirstName,
A,03 - U.S. Citizenship,a-3-7f4c63-0,340,Middle Name,text,Letter(s) Only|No Middle Name,,Non-U.S. Citizen Documentation Additional Details,,,nonUsCitizenDocumentMiddleName,
A,03 - U.S. Citizenship,a-3-113c86-0,344,Suffix,dropdown,,SUFFIX,Non-U.S. Citizen Documentation Additional Details,,,nonUsCitizenDocumentSuffix,
A,04 - Additional Citizenships,a-4-192ea9-0,348,"Have you ever been a citizen of another country? (Answer ""Yes"" if you currently hold or have previously held a citizenship with a country you did not list in Section 3. Otherwise, answer ""No"".)",boolean,,,,,,IGNORE,
A,04 - Additional Citizenships,a-4-9990be-0,352,Provide country(ies) of citizenship.(Select all that apply.),dropdown,,COUNTRY,for Affirmative Answer on Citizen of Another Country. Details.,,additionalCitizenships,country,
A,04 - Additional Citizenships,a-4-1075d5-0,354,"How did you become a citizen of this country? (For example, by birth, applied for, or through your parents)",text,,,for Affirmative Answer on Citizen of Another Country. Details.,,additionalCitizenships,acquisitionMethod,
A,04 - Additional Citizenships,a-4-352749-0,357,From,mm/dd/yyyy,Estimated,,for Affirmative Answer on Citizen of Another Country. Details.,,additionalCitizenships,startDate,
A,04 - Additional Citizenships,a-4-36e41e-0,360,To,mm/dd/yyyy,Estimated|Present,,for Affirmative Answer on Citizen of Another Country. Details.,,additionalCitizenships,endDate,
A,04 - Additional Citizenships,a-4-10d9e3-0,361,Were you ever issued a passport by this country?,boolean,,,for Affirmative Answer on Citizen of Another Country. Details.,,additionalCitizenships,wasIssuedPassport,
A,04 - Additional Citizenships,a-4-ff9bba-0,362,Is the passport still active?,boolean,,,for Affirmative Answer on Citizen of Another Country. Details.,,additionalCitizenships,isPassportActive,
A,05 - Residences,a-5-184d49-0,377,Do you currently live in the U.S.?,boolean,,,Residence Information.,,residences,,
A,05 - Residences,a-5-7962f5-0,382,"Street (include Apt #, Unit #, or Suite #, if applicable)",text,,,for U.S. Residence.,,residences,,
A,05 - Residences,a-5-13fdd2-0,384,City,text,,,for U.S. Residence.,,residences,,
A,05 - Residences,a-5-81bf70-0,386,State or Territory,dropdown,,STATE_OR_TERRITORY,for U.S. Residence.,,residences,,
A,05 - Residences,a-5-d9301f-0,388,ZIP Code,text,,,for U.S. Residence.,,residences,,
A,05 - Residences,a-5-d36b3c-0,390,Is this a U.S. military installation?,boolean,,,for U.S. Residence.,,residences,,
A,05 - Residences,a-5-1dcf26-0,394,What is the name of this U.S. military installation?,text,,,for U.S. Residence and in Military Installation. Name.,,residences,,
A,05 - Residences,a-5-2ecb3a-0,400,City,text,,,for Non-U.S. Residence. City and Country.,,residences,,
A,05 - Residences,a-5-14db0c-0,402,Country,dropdown,,COUNTRY,for Non-U.S. Residence. City and Country.,,residences,,
A,05 - Residences,a-5-ae7ad7-0,404,Is this a U.S. military installation or U.S. diplomatic facility?,boolean,,,for Non-U.S. Residence. City and Country.,,residences,,
A,05 - Residences,a-5-173521-0,408,What is the name of this U.S. military installation or U.S. diplomatic facility?,text,Not Applicable (Text),,for Non-U.S. Residence but Affirmative on U.S. Military Residence.,,residences,,
A,05 - Residences,a-5-4e5097-0,411,What is the APO/FPO/DPO ZIP Code?,text,,,for Non-U.S. Residence but Affirmative on U.S. Military Residence.,,residences,,
A,05 - Residences,a-5-20de13-0,414,When did you start living here?,month,Estimated,,for When Start Date of Residence.,,residences,,
A,05 - Residences,a-5-162c83-0,418,When did you stop living here?,month,Estimated|Present,,for End Date of Residence.,,residences,,
A,05 - Residences,a-5-1dd8e5-0,423,Is this a temporary address over 90 days?,boolean,,,for Temporary Address Question.,,residences,,
A,05 - Residences,a-5-97a6f9-0,427,What is or was the purpose of your temporary living situation?,dropdown,,TEMPORARY_LIVING,for Temporary Residence.,,residences,,
A,05 - Residences,a-5-26078c-0,430,Please explain.,text,,,Explanation for Selection of “Other” in Purpose of Temporary Residence Dropdown Menu.,,residences,,
A,05 - Residences,a-5-160173-0,433,Do you have another address to report? (Only report information prior to your 18th birthday if necessary to report a minimum of 2 years of information.),boolean,,,for Additional Address to Report.,,IGNORE,,
A,05 - Residences,a-5-10220c-0,437,Is your next address in the U.S.?,boolean,,,for If Additional Reported Address in U.S. or Outside of U.S.,,,,
A,06 - Education,a-6-81b8ba-0,443,Have you attended any schools in the past five years? (Only report information prior to your 18th birthday if necessary to report a minimum of 2 years of information.),boolean,,,,,,IGNORE,
A,06 - Education,a-6-4e537d-0,447,What is the name of the school? (Do not use abbreviations or acronyms.),text,,,for Education in the Last Five Years.,,schools,schoolName,
A,06 - Education,a-6-1beee4-0,448,School no longer in business,text,,,for Education in the Last Five Years.,"no_secondary_chunks, bracket_in_text",schools,schoolNoLongerInBusiness,
A,06 - Education,a-6-abab69-0,450,What type of school is this?,dropdown,,SCHOOL_TYPE,for Education in the Last Five Years.,,schools,schoolType,
A,06 - Education,a-6-1dc4d0-0,453,Please explain.,text,,,for Education in the Last Five Years – School Type Selection of “Other” in Dropdown Menu.,,schools,schoolTypeExplanation,
A,06 - Education,a-6-1bb67a-0,456,Which best describes your learning experience at this type of school?,dropdown,,LEARNING_TYPE,Education Additional Questions.,,schools,learningExperience,
A,06 - Education,a-6-36ebeb-0,459,From,month,Estimated,,Education Additional Questions.,,schools,startDate,
A,06 - Education,a-6-1df5cd-0,462,To,month,Estimated|Present,,Education Additional Questions.,,schools,endDate,
A,06 - Education,a-6-4ec587-0,466,Is this school in the U.S.? (For distance-learning schools use the address where your school records are kept.),boolean,,,Education Additional Questions.,,schools,isSchoolInUS,
A,06 - Education,a-6-1a956d-0,471,"Street (include Apt #, Unit #, or Suite #, if applicable)",text,,,Education Yes to U.S. Location. Address.,,schools,usAddressStreet,
A,06 - Education,a-6-1e5cb7-0,473,City,text,,,Education Yes to U.S. Location. Address.,,schools,usAddressCity,
A,06 - Education,a-6-c53779-0,475,State or Territory,dropdown,,STATE_OR_TERRITORY,Education Yes to U.S. Location. Address.,,schools,usAddressState,
A,06 - Education,a-6-1d5870-0,477,ZIP Code,text,,,Education Yes to U.S. Location. Address.,,schools,usAddressZipcode,
A,06 - Education,a-6-1b17b1-0,481,City,text,,,Education but Not in the U.S. City and Country.,,schools,nonUsAddressCity,
A,06 - Education,a-6-108734-0,483,Country,dropdown,,COUNTRY,Education but Not in the U.S. City and Country.,,schools,nonUsAddressCountry,
A,06 - Education,a-6-987bf0-0,486,Did you receive a degree or diploma from this school?,boolean,,,Education Degree or Diploma Question.,,schools,receivedDegreeOrDiploma,
A,06 - Education,a-6-debe9b-0,490,What type of degree or diploma did you receive?,dropdown,,DEGREE_TYPE,Education Yes to Degree or Diploma.,,schools,degreeType,
A,06 - Education,a-6-1f6626-0,493,Please explain.,text,,,Education. Explanation for Selection of “Other” in Dropdown Menu for Degree/Diploma Type.,,schools,degreeTypeExplanation,
A,06 - Education,a-6-12479b-0,496,When were you awarded this degree or diploma?,month,Estimated,,"Education, Yes to Degree - Date Awarded.",,schools,degreeDate,
A,06 - Education,a-6-19186d-0,500,"Is or was the physical location different than the school address entered above, such as at another campus or other location?",boolean,,,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location Question.,complex_html_parsing,schools,differentPhysicalLocation,
A,06 - Education,a-6-19889c-0,504,Is or was your school physical address in the U.S.? (Your school address is where you physically attend or attended.),boolean,,,for Affirmative Answer Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location. Education Location in U.S. Question.,,schools.physicalAddresses,physicalAddressInUs,
A,06 - Education,a-6-1b1188-0,509,"Street (include Apt #, Unit #, or Suite #, if applicable)",text,,,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location in the U.S. Details,,schools.physicalAddresses,physicalAddressUsStreet,
A,06 - Education,a-6-1add96-0,511,City,text,,,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location in the U.S. Details,,schools.physicalAddresses,physicalAddressUsCity,
A,06 - Education,a-6-41a441-0,513,State or Territory,dropdown,,STATE_OR_TERRITORY,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location in the U.S. Details,,schools.physicalAddresses,physicalAddressUsState,
A,06 - Education,a-6-418d86-0,515,ZIP Code,text,,,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location in the U.S. Details,,schools.physicalAddresses,physicalAddressUsZipcode,
A,06 - Education,a-6-57f663-0,517,Is this a U.S. military installation?,boolean,,,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location in the U.S. Details,,schools.physicalAddresses,physicalAddressUsIsMilitaryInstallation,
A,06 - Education,a-6-122976-0,521,What is the name of this U.S. military installation?,text,,,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location in U.S. Military Installation Question.,,schools.physicalAddresses,physicalAddressUsMilitaryInstallationName,
A,06 - Education,a-6-a8dd71-0,525,Please provide physical address,text,,,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location. School Address Not in U.S. Details.,,schools.physicalAddresses,physicalAddressNonUsStreetAddress,
A,06 - Education,a-6-b62688-0,527,City,text,,,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location. School Address Not in U.S. Details.,,schools.physicalAddresses,physicalAddressNonUsCity,
A,06 - Education,a-6-111b5d-0,529,Country,dropdown,,COUNTRY,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location. School Address Not in U.S. Details.,,schools.physicalAddresses,physicalAddressNonUsCountry,
A,06 - Education,a-6-38a5c2-0,531,Is this a U.S. military installation or U.S. diplomatic facility?,boolean,,,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location. School Address Not in U.S. Details.,,schools.physicalAddresses,physicalAddressNonUsIsUsgFacility,
A,06 - Education,a-6-191d56-0,535,What is the name of this U.S. military installation or U.S. diplomatic facility?,text,Not Applicable (Text),,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location. School Address in Foreign U.S. Military Installation.,,schools.physicalAddresses,pysicalAddressNonUsUsgFacilityName,
A,06 - Education,a-6-1bb59a-0,538,What is the APO/FPO/DPO ZIP Code?,text,,,for Education in the Last Five Years. Education Experience of “In-Person” or “Combination” at Different Physical Location. School Address in Foreign U.S. Military Installation.,,schools.physicalAddresses,physicalAddressNonUsPostCode,
A,06 - Education,a-6-10b4a9-0,541,Do you have another instance to report where the physical location you attended school is different than the school address entered above (such as at another campus or other location.),boolean,,,Another Education Physical Location to Report.,complex_html_parsing,,IGNORE,
A,06 - Education,a-6-329a19-0,547,Last Name,text,,,Education Person to Verify.,,schools,educationReferenceLastName,
A,06 - Education,a-6-4ed369-0,549,First Name,text,,,Education Person to Verify.,,schools,educationReferenceFirstName,
A,06 - Education,a-6-1adfb1-0,551,Middle Name,text,I Don't Know,,Education Person to Verify.,,schools,educationReferenceMiddleName,
A,06 - Education,a-6-82bc84-0,554,Suffix,dropdown,,SUFFIX,Education Person to Verify.,,schools,educationReferenceSuffix,
A,06 - Education,a-6-2e808a-0,556,What is your relationship with this individual? (Select all that apply.),multi_dropdown,,SCHOOL_RELATIONSHIP,Education Person to Verify.,,schools,educationReferenceRelationship,
